y	x	development	type	bus
0	17	0	4	false
0	18	0	4	false
0	19	0	4	false
0	20	0	4	false
0	21	0	4	false
0	22	1	3	false
0	23	1	1	false
0	24	1	2	false
0	25	1	0	true
0	26	3	0	false
0	27	1	2	true
0	28	3	1	false
0	64	2	3	true
1	16	1	1	true
1	17	1	1	false
1	18	2	3	false
1	19	1	3	true
1	20	1	3	false
1	21	0	4	false
1	22	1	3	true
1	23	1	1	false
1	24	1	1	false
1	25	1	0	false
1	26	1	1	false
1	27	1	1	false
1	28	1	1	false
1	29	2	3	false
1	30	0	4	false
1	31	0	4	false
1	32	0	4	false
1	33	1	1	false
2	14	0	4	false
2	15	1	1	false
2	16	1	1	false
2	17	1	0	false
2	18	1	1	true
2	19	1	0	false
2	20	1	3	false
2	21	1	3	false
2	22	2	3	false
2	23	1	0	false
2	24	2	1	false
2	25	3	0	false
2	26	3	1	true
2	27	2	1	true
2	28	1	1	true
2	29	1	1	true
2	30	1	1	false
2	31	1	1	false
2	32	1	1	false
2	33	1	0	false
2	34	1	2	true
2	35	2	2	true
2	36	3	2	false
2	37	2	1	false
3	11	2	2	true
3	12	1	2	false
3	13	0	4	false
3	14	1	1	false
3	15	1	0	false
3	16	1	0	false
3	17	4	3	false
3	18	2	2	false
3	19	3	3	false
3	20	3	3	false
3	21	2	3	false
3	22	3	3	false
3	23	2	0	false
3	24	2	2	false
3	25	3	1	true
3	26	2	1	true
3	27	1	0	true
3	28	1	0	false
3	29	1	0	false
3	30	1	2	false
3	31	2	2	true
3	32	1	0	false
3	33	3	2	false
3	34	1	0	true
3	35	2	2	false
3	36	2	2	true
3	37	3	2	false
3	38	4	3	false
3	39	2	2	false
3	40	2	3	true
3	41	2	3	true
4	11	2	3	false
4	12	1	2	false
4	13	2	1	false
4	14	1	1	false
4	15	1	2	true
4	16	1	0	false
4	17	4	3	false
4	18	1	0	false
4	19	1	0	false
4	20	1	0	false
4	21	3	2	true
4	22	1	0	true
4	23	1	0	true
4	24	2	2	true
4	25	3	2	false
4	26	1	0	false
4	27	2	0	true
4	28	1	0	true
4	29	1	0	true
4	30	2	2	true
4	31	2	1	true
4	32	1	0	true
4	33	2	0	true
4	34	2	0	true
4	35	3	2	true
4	36	3	2	true
4	37	2	0	true
4	38	2	1	false
4	39	2	2	false
4	40	1	0	false
4	41	1	0	false
4	42	1	1	false
5	13	3	1	true
5	14	3	2	true
5	15	3	2	true
5	16	3	1	true
5	17	3	2	false
5	18	2	2	false
5	19	2	1	true
5	20	1	0	false
5	21	2	0	true
5	22	3	0	true
5	23	3	1	false
5	24	2	2	true
5	25	3	2	false
5	26	4	3	false
5	27	4	3	false
5	28	3	2	false
5	29	1	0	false
5	30	1	0	true
5	31	1	0	false
5	32	1	0	true
5	33	2	0	true
5	34	3	0	false
5	35	3	0	false
5	36	1	0	true
5	37	3	2	false
5	38	1	0	true
5	39	1	0	true
5	40	3	2	false
5	41	1	0	false
5	42	1	0	false
6	13	2	3	false
6	14	2	0	false
6	15	3	2	true
6	16	2	0	true
6	17	2	0	true
6	18	3	2	true
6	19	3	2	true
6	20	2	0	false
6	21	1	0	false
6	22	2	0	true
6	23	2	2	true
6	24	2	1	true
6	25	2	2	true
6	26	2	0	true
6	27	4	3	false
6	28	2	1	true
6	29	2	1	true
6	30	2	0	true
6	31	1	0	false
6	32	3	1	false
6	33	3	1	true
6	34	2	0	true
6	35	3	1	true
6	36	2	0	false
6	37	2	0	false
6	38	2	0	false
6	39	3	0	true
6	40	2	0	true
6	41	1	0	true
7	15	3	0	false
7	16	2	0	true
7	17	2	1	false
7	18	1	2	false
7	19	2	2	false
7	20	2	1	false
7	21	2	1	false
7	22	3	1	false
7	23	3	1	false
7	24	2	0	false
7	25	3	2	false
7	26	1	0	true
7	27	1	0	false
7	28	3	2	false
7	29	3	1	false
7	30	1	0	false
7	31	2	1	false
7	32	3	2	false
7	33	3	1	true
7	34	3	0	true
7	35	4	2	true
7	36	1	0	false
7	37	3	2	false
7	38	3	2	false
7	39	3	1	false
7	40	3	1	true
7	41	3	1	true
7	42	2	0	true
8	15	1	0	false
8	16	1	0	false
8	17	4	3	false
8	18	4	3	false
8	19	4	3	false
8	20	2	1	false
8	21	3	1	false
8	22	3	1	true
8	23	3	2	true
8	24	2	0	false
8	25	1	0	false
8	26	1	0	false
8	27	2	0	true
8	28	1	0	true
8	29	1	0	true
8	30	3	1	true
8	31	3	1	true
8	32	2	0	true
8	33	2	0	true
8	34	1	0	true
8	35	3	1	true
8	36	1	0	true
8	37	1	0	false
8	38	2	1	true
8	39	2	0	true
8	40	1	0	true
8	41	1	0	false
8	42	1	0	false
8	43	1	0	false
8	44	1	1	true
9	14	4	2	false
9	15	1	0	true
9	16	2	0	true
9	17	3	2	false
9	18	3	0	false
9	19	3	0	true
9	20	3	2	true
9	21	2	0	false
9	22	2	1	true
9	23	3	0	false
9	24	2	1	false
9	25	3	1	true
9	26	1	0	true
9	27	2	0	false
9	28	2	0	true
9	29	3	0	true
9	30	2	1	true
9	31	2	1	false
9	32	3	1	false
9	33	3	0	true
9	34	1	0	true
9	35	2	0	false
9	36	1	0	false
9	37	4	3	true
9	38	3	1	true
9	39	2	0	true
9	40	2	1	true
9	41	3	1	true
9	42	2	0	true
9	43	3	1	true
9	44	3	1	true
10	14	1	0	false
10	15	1	0	false
10	16	1	0	false
10	17	1	0	false
10	18	4	3	false
10	19	4	3	false
10	20	1	0	false
10	21	4	3	false
10	22	2	1	true
